Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
STAR PRAVAH 30d,22.42,20.18,17.94,1,0
STAR SUVARNA 30d,22.42,20.18,17.94,1,0
STAR SUVARNA HD 30d,22.42,20.18,17.94,0,1
STAR SUVARNA PLUS 30d,5.9,5.31,4.72,1,0
STAR VIJAY HD 30d,22.42,20.18,17.94,0,1
SUN MUSIC 30d,7.08,6.37,5.66,1,0
SUN NEWS 30d,1.18,1.06,0.94,1,0
SUN TV HD 30d,22.42,20.18,17.94,0,1
SURYA MUSIC 30d,4.72,4.25,3.78,1,0
SURYA TV 30d,14.16,12.74,11.33,1,0
TV5MONDE ASIE 30d,0,0,0,1,0
TV9 KANNADA 30d,0,0,0,1,0
TV9 MARATHI 30d,0,0,0,1,0
UDAYA COMEDY 30d,7.08,6.37,5.66,1,0
UDAYA MOVIES 30d,22.42,20.18,17.94,1,0
UDAYA TV 30d,22.42,20.18,17.94,1,0
ZEE 24 GHANTA 30d,0.12,0.11,0.09,1,0
ZEE 24 TAAS 30d,0.12,0.11,0.09,1,0
SONY TEN 3 HD 30d,22.42,20.18,17.94,0,1
SONY WAH 30d,0.59,0.53,0.47,1,0
SONY YAY 30d,3.54,3.19,2.83,1,0
STAR BHARAT 30d,14.16,12.74,11.33,1,0
STAR BHARAT HD 30d,22.42,20.18,17.94,0,1
STAR GOLD 30d,22.42,20.18,17.94,1,0
STAR GOLD HD 30d,22.42,20.18,17.94,0,1
STAR GOLD SELECT HD 30d,9.44,8.5,7.55,0,1
STAR MOVIES 30d,22.42,20.18,17.94,1,0
STAR MOVIES HD 30d,22.42,20.18,17.94,0,1
STAR MOVIES SELECT HD 30d,22.42,20.18,17.94,0,1
STAR PLUS HD 30d,22.42,20.18,17.94,0,1
STAR SPORTS 1 30d,22.42,20.18,17.94,1,0
STAR SPORTS 1 HINDI HD 30d,22.42,20.18,17.94,0,1
STAR SPORTS 2 30d,4.72,4.25,3.78,1,0
STAR SPORTS 3 30d,2.36,2.12,1.89,1,0
STAR SPORTS SELECT 1 30d,22.42,20.18,17.94,1,0
STAR SPORTS SELECT 1 HD 30d,22.42,20.18,17.94,0,1
STAR SPORTS SELECT 2 HD 30d,11.8,10.62,9.44,0,1
STAR UTSAV 30d,0.59,0.53,0.47,1,0
GOOD NEWS TODAY 30d,0.3,0.27,0.24,1,0
TIMES NOW 30d,2.95,2.66,2.36,1,0
TLC 30d,2.36,2.12,1.89,1,0
TLC HD 30d,3.54,3.19,2.83,0,1
VH1 30d,1.18,1.06,0.94,1,0
WION 30d,1.18,1.06,0.94,1,0
ZEE ACTION 30d,0.12,0.11,0.09,1,0
ZEE ANMOL 30d,0.12,0.11,0.09,1,0
